  0%|          | 0/100 [00:00<?, ?it/s]
Starting training with eta=0.0003 for 100 epochs, with batch size 8
Training for Epoch 1 starting:
Epoch 1, avg running_loss: 0.7454721331596375
Epoch 1, avg running_loss: 0.6662335395812988
Epoch 1, avg running_loss: 0.6367877721786499
Epoch 1, avg running_loss: 0.6154902577400208
Epoch 1, avg running_loss: 0.5911362171173096
Epoch 1, avg running_loss: 0.5918933749198914
Epoch 1, avg running_loss: 0.5914945006370544
Epoch 1, avg running_loss: 0.5722635984420776
Epoch 1, avg running_loss: 0.5627173185348511
Epoch 1, avg running_loss: 0.5520262122154236
Epoch 1, avg running_loss: 0.5601074695587158
Epoch 1, avg running_loss: 0.5384857058525085
Epoch 1, avg running_loss: 0.5383999347686768
Epoch 1, avg running_loss: 0.532339870929718
Epoch 1, avg running_loss: 0.5275980234146118
Epoch 1, avg running_loss: 0.540682315826416
Epoch 1, avg running_loss: 0.5289590358734131
Epoch 1, avg running_loss: 0.5251211524009705
Epoch 1, avg running_loss: 0.5221295952796936
Epoch 1, avg running_loss: 0.5190340876579285
Epoch 1, avg running_loss: 0.5090577006340027
Epoch 1, avg running_loss: 0.5118381381034851
Epoch 1, avg running_loss: 0.5058915019035339
Epoch 1, avg running_loss: 0.4922734797000885
Epoch 1, avg running_loss: 0.49063125252723694
Epoch 1, avg running_loss: 0.4874942898750305
Epoch 1, avg running_loss: 0.48189374804496765
Epoch 1, avg running_loss: 0.4888528287410736
Epoch 1, avg running_loss: 0.4799829423427582
Epoch 1, avg running_loss: 0.4827636778354645
Epoch 1, avg running_loss: 0.47509071230888367
Epoch 1, avg running_loss: 0.4629368782043457
Epoch 1, avg running_loss: 0.4732126295566559
Epoch 1, avg running_loss: 0.4712902009487152
Epoch 1, avg running_loss: 0.4631350636482239
Epoch 1, avg running_loss: 0.4664476811885834
Epoch 1, avg running_loss: 0.4705166816711426
Epoch 1, avg running_loss: 0.469546377658844
Epoch 1, avg running_loss: 0.46557122468948364
Epoch 1, avg running_loss: 0.45858272910118103
Epoch 1, avg running_loss: 0.46259936690330505
Epoch 1, avg running_loss: 0.45544740557670593
Epoch 1, avg running_loss: 0.4599528908729553
Epoch 1, avg running_loss: 0.44916269183158875
Epoch 1, avg running_loss: 0.45515820384025574
Epoch 1, avg running_loss: 0.4527183473110199
Epoch 1, avg running_loss: 0.44095906615257263
Epoch 1, avg running_loss: 0.4457579553127289
Epoch 1, avg running_loss: 0.4464832842350006
Epoch 1, avg running_loss: 0.4513735771179199
Epoch 1, avg running_loss: 0.4400462806224823
Epoch 1, avg running_loss: 0.43751129508018494
Epoch 1, avg running_loss: 0.43451234698295593
Epoch 1, avg running_loss: 0.4249892234802246
Epoch 1, avg running_loss: 0.43537577986717224
Epoch 1, avg running_loss: 0.43806692957878113
Epoch 1, avg running_loss: 0.43617644906044006
Epoch 1, avg running_loss: 0.43031737208366394
Epoch 1, avg running_loss: 0.42623406648635864
Epoch 1, avg running_loss: 0.43142029643058777
Epoch 1, avg running_loss: 0.4118046462535858
Epoch 1, avg running_loss: 0.419210284948349
Epoch 1, avg running_loss: 0.4228033721446991
Epoch 1, avg running_loss: 0.4224990904331207
Epoch 1, avg running_loss: 0.4233260154724121
Epoch 1, avg running_loss: 0.4148236811161041
Epoch 1, avg running_loss: 0.42007049918174744
Epoch 1, avg running_loss: 0.41561341285705566
Epoch 1, avg running_loss: 0.4130067825317383
Epoch 1, avg running_loss: 0.4094202220439911
Epoch 1, avg running_loss: 0.3989356458187103
Epoch 1, avg running_loss: 0.4042895436286926
Epoch 1, avg running_loss: 0.4062618315219879
Epoch 1, avg running_loss: 0.3980436325073242
Epoch 1, avg running_loss: 0.3957403004169464
Epoch 1, avg running_loss: 0.40253058075904846
Epoch 1, avg running_loss: 0.38902127742767334
Epoch 1, avg running_loss: 0.403670996427536
Epoch 1, avg running_loss: 0.3924667537212372
Epoch 1, avg running_loss: 0.392526775598526
Training loss for 1:380.7571105957031
  1%|          | 1/100 [08:21<13:47:49, 501.71s/it]
Training for Epoch 2 starting:
Epoch 2, avg running_loss: 0.3926868140697479
Epoch 2, avg running_loss: 0.41034141182899475
Epoch 2, avg running_loss: 0.3994191884994507
Epoch 2, avg running_loss: 0.3923346996307373
Epoch 2, avg running_loss: 0.3872605562210083
Epoch 2, avg running_loss: 0.3829512298107147
Epoch 2, avg running_loss: 0.37387216091156006
Epoch 2, avg running_loss: 0.3801881968975067
Epoch 2, avg running_loss: 0.3823164403438568
Epoch 2, avg running_loss: 0.376486212015152
Epoch 2, avg running_loss: 0.3896009922027588
Epoch 2, avg running_loss: 0.37191253900527954
Epoch 2, avg running_loss: 0.3901648223400116
Epoch 2, avg running_loss: 0.37699398398399353
Epoch 2, avg running_loss: 0.37186846137046814
Epoch 2, avg running_loss: 0.3667777478694916
Epoch 2, avg running_loss: 0.367430180311203
Epoch 2, avg running_loss: 0.3739190399646759
Epoch 2, avg running_loss: 0.3721722662448883
Epoch 2, avg running_loss: 0.3602994680404663
Epoch 2, avg running_loss: 0.36964693665504456
Epoch 2, avg running_loss: 0.3771607577800751
Epoch 2, avg running_loss: 0.3595009744167328
Epoch 2, avg running_loss: 0.37753063440322876
Epoch 2, avg running_loss: 0.36783072352409363
Epoch 2, avg running_loss: 0.3709545433521271
Epoch 2, avg running_loss: 0.36570605635643005
Epoch 2, avg running_loss: 0.3645786941051483
Epoch 2, avg running_loss: 0.37632477283477783
Epoch 2, avg running_loss: 0.3597531020641327
Epoch 2, avg running_loss: 0.35163915157318115
Epoch 2, avg running_loss: 0.3600628674030304
Epoch 2, avg running_loss: 0.3504140377044678
Epoch 2, avg running_loss: 0.3582722246646881
Epoch 2, avg running_loss: 0.3535310924053192
Epoch 2, avg running_loss: 0.3528718054294586
Epoch 2, avg running_loss: 0.3440800607204437
Epoch 2, avg running_loss: 0.33765408396720886
Epoch 2, avg running_loss: 0.3555186688899994
Epoch 2, avg running_loss: 0.34464031457901
Epoch 2, avg running_loss: 0.35029569268226624
Epoch 2, avg running_loss: 0.3419865071773529
Epoch 2, avg running_loss: 0.34182605147361755
Epoch 2, avg running_loss: 0.34223467111587524
Epoch 2, avg running_loss: 0.3438268303871155
