  0%|          | 0/50 [00:00<?, ?it/s]
Starting training with eta=0.0003 for 50 epochs, with batch size 5
Training for Epoch 1 starting:
Epoch 1, avg running_loss: 0.6117537021636963
Epoch 1, avg running_loss: 0.5147824287414551
Epoch 1, avg running_loss: 0.5126156210899353
Epoch 1, avg running_loss: 0.4916043281555176
Epoch 1, avg running_loss: 0.5032691359519958
Epoch 1, avg running_loss: 0.47356173396110535
Epoch 1, avg running_loss: 0.47563156485557556
Epoch 1, avg running_loss: 0.4860513210296631
Epoch 1, avg running_loss: 0.4542900621891022
Epoch 1, avg running_loss: 0.44746923446655273
Epoch 1, avg running_loss: 0.4441578984260559
Epoch 1, avg running_loss: 0.47634777426719666
Epoch 1, avg running_loss: 0.45359006524086
Epoch 1, avg running_loss: 0.4579988420009613
Epoch 1, avg running_loss: 0.4603513777256012
Epoch 1, avg running_loss: 0.4311315715312958
Epoch 1, avg running_loss: 0.47205623984336853
Epoch 1, avg running_loss: 0.45931845903396606
Validation for Epoch 1 starting:
Training loss for 1:86.25983428955078
Validation loss for 1:0.872693657875061
  2%|▏         | 1/50 [01:24<1:08:37, 84.04s/it]
Training for Epoch 2 starting:
Epoch 2, avg running_loss: 0.46536263823509216
Epoch 2, avg running_loss: 0.46135255694389343
Epoch 2, avg running_loss: 0.4468032419681549
Epoch 2, avg running_loss: 0.4456230103969574
Epoch 2, avg running_loss: 0.4358367621898651
Epoch 2, avg running_loss: 0.42143726348876953
Epoch 2, avg running_loss: 0.4508323669433594
Epoch 2, avg running_loss: 0.42835307121276855
Epoch 2, avg running_loss: 0.4497222900390625
Epoch 2, avg running_loss: 0.4490374028682709
Epoch 2, avg running_loss: 0.449728399515152
Epoch 2, avg running_loss: 0.4298976957798004
Epoch 2, avg running_loss: 0.41094571352005005
Epoch 2, avg running_loss: 0.41536471247673035
Epoch 2, avg running_loss: 0.4308478534221649
Epoch 2, avg running_loss: 0.4261089265346527
Epoch 2, avg running_loss: 0.431588739156723
Epoch 2, avg running_loss: 0.42658981680870056
Validation for Epoch 2 starting:
Training loss for 2:78.75431823730469
Validation loss for 2:0.8295930027961731
  4%|▍         | 2/50 [02:46<1:06:56, 83.67s/it]
Training for Epoch 3 starting:
Epoch 3, avg running_loss: 0.4284702241420746
Epoch 3, avg running_loss: 0.4361438751220703
Epoch 3, avg running_loss: 0.4250504970550537
Epoch 3, avg running_loss: 0.4242580831050873
