 0%|          | 0/50 [00:00<?, ?it/s]
Starting training with eta=0.0003 for 50 epochs, with batch size 5
Training for Epoch 1 starting:
Epoch 1, avg running_loss: 0.6033667325973511
Epoch 1, avg running_loss: 0.5608537197113037
Epoch 1, avg running_loss: 0.5571504831314087
Epoch 1, avg running_loss: 0.5420358777046204
Epoch 1, avg running_loss: 0.5229474306106567
Epoch 1, avg running_loss: 0.512343168258667
Epoch 1, avg running_loss: 0.512636125087738
Epoch 1, avg running_loss: 0.5026893615722656
Epoch 1, avg running_loss: 0.4897204339504242
Epoch 1, avg running_loss: 0.4832352101802826
Epoch 1, avg running_loss: 0.4762689173221588
Epoch 1, avg running_loss: 0.4870179295539856
Epoch 1, avg running_loss: 0.4883718490600586
Epoch 1, avg running_loss: 0.47046738862991333
Epoch 1, avg running_loss: 0.48538532853126526
Epoch 1, avg running_loss: 0.467516154050827
Epoch 1, avg running_loss: 0.4424801766872406
Epoch 1, avg running_loss: 0.45273837447166443
Validation for Epoch 1 starting:
Training loss for 1:90.57225036621094
Validation loss for 1:0.8235962390899658
  2%|▏         | 1/50 [01:23<1:08:05, 83.38s/it]
Training for Epoch 2 starting:
Epoch 2, avg running_loss: 0.43151435256004333
Epoch 2, avg running_loss: 0.4412139356136322
Epoch 2, avg running_loss: 0.4275352954864502
Epoch 2, avg running_loss: 0.43471288681030273
Epoch 2, avg running_loss: 0.42066246271133423
Epoch 2, avg running_loss: 0.39434581995010376
Epoch 2, avg running_loss: 0.39079275727272034
Epoch 2, avg running_loss: 0.39067748188972473
Epoch 2, avg running_loss: 0.4018869996070862
Epoch 2, avg running_loss: 0.4094318449497223
Epoch 2, avg running_loss: 0.3728080689907074
Epoch 2, avg running_loss: 0.39100199937820435
Epoch 2, avg running_loss: 0.37369340658187866
Epoch 2, avg running_loss: 0.3647589385509491
Epoch 2, avg running_loss: 0.33314427733421326
Epoch 2, avg running_loss: 0.34443801641464233
Epoch 2, avg running_loss: 0.3237343430519104
Epoch 2, avg running_loss: 0.32060274481773376
Validation for Epoch 2 starting:
Training loss for 2:69.66954040527344
Validation loss for 2:0.6043307781219482
  4%|▍         | 2/50 [02:46<1:06:34, 83.21s/it]
Training for Epoch 3 starting:
Epoch 3, avg running_loss: 0.3352801501750946
Epoch 3, avg running_loss: 0.3147083818912506
Epoch 3, avg running_loss: 0.3304552733898163
Epoch 3, avg running_loss: 0.31690239906311035
